월,금리
2020-01,1.48
2020-02,1.36
2020-03,1.27
2020-04,1.26
2020-05,1.13
2020-06,1.13
2020-07,1.09
2020-08,1.09
2020-09,1.19
2020-10,1.20
2020-11,1.30
2020-12,1.32
2021-01,1.32
2021-02,1.35
2021-03,1.55
2021-04,1.58
2021-05,1.65
2021-06,1.70
2021-07,1.69
2021-08,1.65
2021-09,1.79
2021-10,2.15
2021-11,2.17
2021-12,1.98
2022-01,2.28
2022-02,2.50
2022-03,2.60
2022-04,3.14
2022-05,3.23
2022-06,3.65
2022-07,3.30
2022-08,3.30
2022-09,3.94
2022-10,4.29
2022-11,3.95
2022-12,3.59
2023-01,3.42
2023-02,3.47
2023-03,3.45
2023-04,3.25
2023-05,3.32
2023-06,3.55
2023-07,3.64
2023-08,3.77
2023-09,3.88
2023-10,4.14
2023-11,3.82
2023-12,3.37
2024-01,3.30
2024-02,3.39
2024-03,3.34
2024-04,3.50
2024-05,3.47
2024-06,3.28
2024-07,3.11
2024-08,2.95
2024-09,2.92
2024-10,2.97
2024-11,2.91
2024-12,2.68
2025-01,2.69
2025-02,2.71
2025-03,2.67
2025-04,2.49
2025-05,2.47
2025-06,2.60
